city,year,weekofyear,total_cases
sj,2008,18,30
sj,2008,19,26
sj,2008,20,30
sj,2008,21,30
sj,2008,22,30
sj,2008,23,37
sj,2008,24,30
sj,2008,25,38
sj,2008,26,40
sj,2008,27,42
sj,2008,28,38
sj,2008,29,44
sj,2008,30,45
sj,2008,31,45
sj,2008,32,46
sj,2008,33,49
sj,2008,34,44
sj,2008,35,46
sj,2008,36,54
sj,2008,37,49
sj,2008,38,47
sj,2008,39,37
sj,2008,40,38
sj,2008,41,38
sj,2008,42,36
sj,2008,43,35
sj,2008,44,32
sj,2008,45,40
sj,2008,46,33
sj,2008,47,33
sj,2008,48,28
sj,2008,49,17
sj,2008,50,20
sj,2008,51,26
sj,2008,52,15
sj,2009,1,14
sj,2009,2,14
sj,2009,3,26
sj,2009,4,28
sj,2009,5,30
sj,2009,6,22
sj,2009,7,22
sj,2009,8,19
sj,2009,9,16
sj,2009,10,21
sj,2009,11,20
sj,2009,12,16
sj,2009,13,18
sj,2009,14,14
sj,2009,15,21
sj,2009,16,22
sj,2009,17,24
sj,2009,18,27
sj,2009,19,21
sj,2009,20,36
sj,2009,21,31
sj,2009,22,42
sj,2009,23,35
sj,2009,24,39
sj,2009,25,44
sj,2009,26,40
sj,2009,27,44
sj,2009,28,44
sj,2009,29,50
sj,2009,30,47
sj,2009,31,46
sj,2009,32,50
sj,2009,33,46
sj,2009,34,51
sj,2009,35,53
sj,2009,36,49
sj,2009,37,40
sj,2009,38,47
sj,2009,39,44
sj,2009,40,51
sj,2009,41,53
sj,2009,42,55
sj,2009,43,48
sj,2009,44,43
sj,2009,45,38
sj,2009,46,32
sj,2009,47,37
sj,2009,48,39
sj,2009,49,30
sj,2009,50,32
sj,2009,51,31
sj,2009,52,28
sj,2010,53,29
sj,2010,1,29
sj,2010,2,25
sj,2010,3,30
sj,2010,4,28
sj,2010,5,17
sj,2010,6,20
sj,2010,7,25
sj,2010,8,30
sj,2010,9,40
sj,2010,10,20
sj,2010,11,25
sj,2010,12,31
sj,2010,13,32
sj,2010,14,24
sj,2010,15,20
sj,2010,16,35
sj,2010,17,47
sj,2010,18,43
sj,2010,19,33
sj,2010,20,45
sj,2010,21,42
sj,2010,22,54
sj,2010,23,55
sj,2010,24,47
sj,2010,25,43
sj,2010,26,47
sj,2010,27,52
sj,2010,28,52
sj,2010,29,49
sj,2010,30,46
sj,2010,31,49
sj,2010,32,56
sj,2010,33,49
sj,2010,34,50
sj,2010,35,45
sj,2010,36,54
sj,2010,37,49
sj,2010,38,48
sj,2010,39,41
sj,2010,40,48
sj,2010,41,50
sj,2010,42,38
