city,year,weekofyear,total_cases
sj,2008,18,36
sj,2008,19,36
sj,2008,20,36
sj,2008,21,36
sj,2008,22,36
sj,2008,23,36
sj,2008,24,36
sj,2008,25,36
sj,2008,26,36
sj,2008,27,36
sj,2008,28,36
sj,2008,29,36
sj,2008,30,36
sj,2008,31,36
sj,2008,32,42
sj,2008,33,47
sj,2008,34,49
sj,2008,35,47
sj,2008,36,51
sj,2008,37,52
sj,2008,38,58
sj,2008,39,55
sj,2008,40,59
sj,2008,41,60
sj,2008,42,62
sj,2008,43,66
sj,2008,44,66
sj,2008,45,63
sj,2008,46,62
sj,2008,47,58
sj,2008,48,56
sj,2008,49,53
sj,2008,50,43
sj,2008,51,39
sj,2008,52,12
sj,2009,1,12
sj,2009,2,12
sj,2009,3,12
sj,2009,4,12
sj,2009,5,12
sj,2009,6,12
sj,2009,7,12
sj,2009,8,12
sj,2009,9,12
sj,2009,10,12
sj,2009,11,12
sj,2009,12,12
sj,2009,13,12
sj,2009,14,13
sj,2009,15,13
sj,2009,16,13
sj,2009,17,13
sj,2009,18,13
sj,2009,19,12
sj,2009,20,13
sj,2009,21,13
sj,2009,22,13
sj,2009,23,15
sj,2009,24,17
sj,2009,25,19
sj,2009,26,20
sj,2009,27,21
sj,2009,28,22
sj,2009,29,24
sj,2009,30,27
sj,2009,31,29
sj,2009,32,33
sj,2009,33,39
sj,2009,34,48
sj,2009,35,55
sj,2009,36,61
sj,2009,37,63
sj,2009,38,65
sj,2009,39,68
sj,2009,40,70
sj,2009,41,66
sj,2009,42,72
sj,2009,43,73
sj,2009,44,70
sj,2009,45,73
sj,2009,46,73
sj,2009,47,75
sj,2009,48,79
sj,2009,49,75
sj,2009,50,72
sj,2009,51,74
sj,2009,52,17
sj,2010,53,17
sj,2010,1,17
sj,2010,2,17
sj,2010,3,17
sj,2010,4,17
sj,2010,5,17
sj,2010,6,17
sj,2010,7,17
sj,2010,8,17
sj,2010,9,17
sj,2010,10,17
sj,2010,11,17
sj,2010,12,17
sj,2010,13,17
sj,2010,14,16
sj,2010,15,17
sj,2010,16,20
sj,2010,17,21
sj,2010,18,22
sj,2010,19,26
sj,2010,20,28
sj,2010,21,31
sj,2010,22,30
sj,2010,23,29
sj,2010,24,32
sj,2010,25,36
sj,2010,26,35
sj,2010,27,37
sj,2010,28,39
sj,2010,29,45
sj,2010,30,52
