weekofyear,week_start_date,precipitation_amt_mm,reanalysis_precip_amt_kg_per_m2,reanalysis_relative_humidity_percent,reanalysis_tdtr_k,station_precip_mm,reanalysis_temp_c,station_temp,ndvi_n,ndvi_s
18,1990-04-30,12.42,32.0,73.3657142857,2.62857142857,16.0,23.271785714250015,24.947619047633335,0.1131625,0.18805
19,1990-05-07,22.82,17.94,77.36857142859999,2.37142857143,8.6,24.215714285500013,26.87142857143333,0.1560375,0.15892140000000002
20,1990-05-14,34.54,26.1,82.0528571429,2.3,41.4,24.853928571250023,27.2380952381,0.10260835,0.16402145
21,1990-05-21,15.36,13.9,80.3371428571,2.4285714285699997,4.0,25.024285714250013,28.023809523799997,0.18685000000000002,0.2317214
22,1990-05-28,7.52,12.2,80.46,3.01428571429,5.8,25.535000000000025,29.280952380966664,0.22920000000000001,0.24927
23,1990-06-04,9.58,26.49,79.8914285714,2.1,39.1,25.845357142750018,28.804761904766668,0.17485,0.2180286
24,1990-06-11,3.48,38.6,82.0,2.04285714286,29.7,25.368214285750014,27.638095238100004,0.10285,0.2076714
25,1990-06-18,151.12,30.0,83.3757142857,1.57142857143,21.1,25.63071428550002,28.35714285713333,0.0725,0.14225
26,1990-06-25,19.32,37.51,82.7685714286,1.8857142857099998,21.1,25.78928571450004,28.342857142866666,0.12431249999999999,0.1245857
27,1990-07-02,14.41,28.4,81.2814285714,2.01428571429,1.1,26.301428571250028,28.876190476199998,0.12155,0.18162499999999998
28,1990-07-09,22.27,43.72,81.4671428571,2.15714285714,63.7,25.688571428500026,26.9857142857,0.1376125,0.17243575
29,1990-07-16,59.17,40.9,82.1442857143,2.41428571429,12.2,25.67535714275003,28.276190476199996,0.25170000000000003,0.29093335
30,1990-07-23,16.48,42.53,80.7428571429,2.0714285714300003,32.6,25.454642857250036,27.5380952381,0.16113335,0.22072855
31,1990-07-30,32.66,34.6,80.58428571430001,2.58571428571,37.6,26.18392857150002,28.480952380966666,0.24715,0.38052854999999997
32,1990-08-06,28.8,20.0,79.65,2.32857142857,11.4,26.406071428500027,28.266666666666666,0.06433333,0.15165
33,1990-08-13,90.75,101.9,84.1785714286,1.8571428571400002,44.7,26.373571428750026,27.880952380966665,0.12803330000000002,0.1876
34,1990-08-20,32.4,25.9,80.9471428571,2.48571428571,5.4,26.26535714300003,28.3142857143,0.17951665,0.1699714
35,1990-08-27,40.94,39.8,83.3485714286,1.9,13.7,26.35892857150003,28.419047619033336,0.291825,0.27424285000000004
36,1990-09-03,28.86,30.4,77.1728571429,3.47142857143,14.2,26.461785714250027,28.142857142866664,0.2177125,0.25712979999999996
37,1990-09-10,64.56,24.18,81.55142857140001,2.9,25.9,26.79178571425001,28.995238095233333,0.28253335,0.13584164999999998
38,1990-09-17,143.73,36.6,81.6371428571,1.74285714286,3.3,26.022142857000006,28.3142857143,0.18939165,0.28025715
39,1990-09-24,51.39,16.4,77.0485714286,2.2571428571400003,15.8,26.338928571500034,28.5142857143,0.1885,0.22182979999999997
40,1990-10-01,31.18,36.1,78.52,2.9,11.7,26.81000000000003,28.657142857133334,0.20915,0.2068357
41,1990-10-08,51.42,132.4,84.11,2.5714285714300003,57.7,26.021428571500024,28.776190476199996,0.11935,0.1685917
42,1990-10-15,143.55,279.6,85.6214285714,1.87142857143,61.8,25.535000000000025,27.90952380953333,0.0702,0.17368335000000001
43,1990-10-22,127.03,94.52,85.5028571429,1.8,91.5,25.16500000000002,26.890476190466668,0.117975,0.1263786
44,1990-10-29,101.35,22.26,82.7871428571,1.78571428571,6.3,25.89035714275002,28.023809523799997,0.21784165,0.30695
45,1990-11-05,20.46,14.4,81.7157142857,2.3857142857099998,6.6,26.159285714250018,28.55714285713333,0.1671875,0.1824786
46,1990-11-12,20.0,7.1,75.72857142859999,2.2,38.9,26.13428571425004,27.5142857143,0.2577,0.2076357
47,1990-11-19,20.04,36.7,78.1514285714,2.52857142857,9.6,25.221785714250032,26.900000000000002,0.30127499999999996,0.1285083
48,1990-11-26,33.61,44.3,81.38571428569999,1.9857142857099999,26.7,24.28750000000001,25.96666666666667,0.17664585,0.1591857
49,1990-12-03,9.96,71.8,79.9085714286,2.05714285714,69.0,24.55642857150002,25.861904761900004,0.0992,0.25924165
50,1990-12-10,0.0,4.1,68.7228571429,2.98571428571,2.8,23.576785714250036,24.495238095233333,0.191505,0.20068570000000002
51,1990-12-17,52.45,32.31,80.0828571429,2.87142857143,19.8,24.288928571500023,25.804761904766668,0.28,0.28179285
52,1990-12-24,0.0,5.46,69.6814285714,2.2857142857099997,20.9,23.16107142875002,25.052380952366672,0.28986665,0.16644445000000002
1,1991-01-01,0.0,4.8,72.9385714286,2.52857142857,5.3,22.316785714250017,24.228571428566664,0.14348335,0.15940715
2,1991-01-08,15.85,26.33,76.6285714286,1.8857142857099998,31.7,23.36428571425003,24.771428571433336,0.10046669999999999,0.19475835000000002
3,1991-01-15,0.0,27.4,78.5,2.0,16.5,23.408928571500027,25.247619047633332,0.2935667,0.23892145000000004
4,1991-01-22,0.0,0.7,71.5971428571,2.55714285714,6.8,23.491785714250028,24.138095238099996,0.32031665,0.21189285000000002
5,1991-01-29,0.0,5.7,71.7842857143,2.77142857143,5.9,23.279285714250022,24.576190476199997,0.1690625,0.21972855
6,1991-02-05,0.0,19.69,75.7942857143,2.4285714285699997,7.3,23.247500000000016,25.219047619033336,0.30433335,0.24042145
7,1991-02-12,18.05,21.4,78.8957142857,3.2,5.6,22.889285714250036,25.414285714299996,0.14615,0.2717929
8,1991-02-19,0.0,26.2,79.74,2.5714285714300003,17.8,23.586428571250025,26.0142857143,0.2094,0.11391665000000001
9,1991-02-26,31.79,23.8,77.9771428571,2.1142857142900002,30.7,23.478214285750028,25.2857142857,0.1894,0.16447665
10,1991-03-05,0.0,8.3,77.3157142857,2.2428571428599997,10.9,23.85214285700002,25.904761904766662,0.237425,0.2320214
11,1991-03-12,0.0,13.37,78.1385714286,2.72857142857,3.6,23.491785714250014,26.076190476199997,,0.22689645
12,1991-03-19,0.0,11.1,77.8828571429,2.54285714286,5.7,23.46535714275001,26.4619047619,0.15315,0.15315715
13,1991-03-26,0.0,21.26,80.0014285714,2.75714285714,26.9,23.82750000000003,26.819047619033338,0.2519625,0.24763449999999998
14,1991-04-02,12.92,20.9,75.6628571429,2.2857142857099997,4.1,22.936071428500014,24.914285714299996,0.19296249999999998,0.24124284999999998
15,1991-04-09,6.0,19.78,79.6285714286,2.62857142857,18.8,23.372142857249997,25.100000000000005,0.2264,0.18095
16,1991-04-16,44.57,21.9,73.3514285714,2.01428571429,19.4,22.938571428500026,25.3380952381,0.08990000000000001,0.18485835
17,1991-04-23,32.72,19.7,78.4471428571,2.3,3.5,23.95071428575004,27.009523809533334,0.18845,0.2066286
18,1991-04-30,0.0,8.38,79.36,2.8,2.8,24.825357142750036,27.4380952381,0.18487084999999998,0.1761714
