city,year,weekofyear,total_cases
sj,2008,18,21
sj,2008,19,26
sj,2008,20,25
sj,2008,21,39
sj,2008,22,28
sj,2008,23,25
sj,2008,24,31
sj,2008,25,40
sj,2008,26,35
sj,2008,27,37
sj,2008,28,28
sj,2008,29,41
sj,2008,30,29
sj,2008,31,44
sj,2008,32,41
sj,2008,33,52
sj,2008,34,33
sj,2008,35,45
sj,2008,36,49
sj,2008,37,47
sj,2008,38,50
sj,2008,39,42
sj,2008,40,48
sj,2008,41,59
sj,2008,42,56
sj,2008,43,44
sj,2008,44,64
sj,2008,45,64
sj,2008,46,62
sj,2008,47,53
sj,2008,48,57
sj,2008,49,50
sj,2008,50,41
sj,2008,51,41
sj,2008,52,42
sj,2009,1,25
sj,2009,2,20
sj,2009,3,28
sj,2009,4,27
sj,2009,5,26
sj,2009,6,25
sj,2009,7,18
sj,2009,8,18
sj,2009,9,18
sj,2009,10,21
sj,2009,11,20
sj,2009,12,18
sj,2009,13,17
sj,2009,14,16
sj,2009,15,16
sj,2009,16,15
sj,2009,17,13
sj,2009,18,14
sj,2009,19,17
sj,2009,20,19
sj,2009,21,18
sj,2009,22,13
sj,2009,23,13
sj,2009,24,13
sj,2009,25,17
sj,2009,26,21
sj,2009,27,31
sj,2009,28,24
sj,2009,29,33
sj,2009,30,26
sj,2009,31,25
sj,2009,32,26
sj,2009,33,31
sj,2009,34,34
sj,2009,35,48
sj,2009,36,41
sj,2009,37,36
sj,2009,38,49
sj,2009,39,44
sj,2009,40,57
sj,2009,41,52
sj,2009,42,56
sj,2009,43,48
sj,2009,44,52
sj,2009,45,57
sj,2009,46,32
sj,2009,47,55
sj,2009,48,41
sj,2009,49,50
sj,2009,50,50
sj,2009,51,40
sj,2009,52,50
sj,2010,53,43
sj,2010,1,22
sj,2010,2,22
sj,2010,3,23
sj,2010,4,19
sj,2010,5,25
sj,2010,6,12
sj,2010,7,20
sj,2010,8,17
sj,2010,9,13
sj,2010,10,19
sj,2010,11,16
sj,2010,12,10
sj,2010,13,7
sj,2010,14,9
sj,2010,15,14
sj,2010,16,14
sj,2010,17,20
sj,2010,18,12
sj,2010,19,12
sj,2010,20,7
sj,2010,21,11
sj,2010,22,15
sj,2010,23,21
sj,2010,24,12
sj,2010,25,12
sj,2010,26,15
sj,2010,27,19
sj,2010,28,20
sj,2010,29,18
sj,2010,30,14
sj,2010,31,28
sj,2010,32,39
sj,2010,33,37
sj,2010,34,30
sj,2010,35,44
sj,2010,36,41
sj,2010,37,26
sj,2010,38,37
sj,2010,39,34
sj,2010,40,43
sj,2010,41,37
sj,2010,42,41
sj,2010,43,35
sj,2010,44,40
sj,2010,45,28
sj,2010,46,41
sj,2010,47,25
sj,2010,48,25
sj,2010,49,21
sj,2010,50,44
sj,2010,51,36
sj,2011,52,22
sj,2011,1,25
sj,2011,2,26
sj,2011,3,20
sj,2011,4,20
sj,2011,5,19
